wfuzz -u http://10.129.28.172/ -H "Host: FUZZ" -w /usr/share/wordlists/SecLists/Discovery/DNS/subdomains-top1million-20000.txt --hw 1222
 /usr/lib/python3/dist-packages/wfuzz/__init__.py:34: UserWarning:Pycurl is not compiled against Openssl. Wfuzz might not work correctly when fuzzing SSL sites. Check Wfuzz's documentation for more information.
********************************************************
* Wfuzz 3.1.0 - The Web Fuzzer                         *
********************************************************

Target: http://10.129.28.172/
Total requests: 19966

=====================================================================
ID           Response   Lines    Word       Chars       Payload                                                                                     
000009998:   400        12 L     53 W       422 Ch      "404"                                                                                       
000010001:   400        12 L     53 W       422 Ch      "www.15"                                                                                    
000010124:   400        12 L     53 W       422 Ch      "125"                                                                                       
000010160:   400        12 L     53 W       422 Ch      "123456"                                                                                    
000010422:   400        12 L     53 W       422 Ch      "86"                                                                                        
000010430:   400        12 L     53 W       422 Ch      "81"                                                                                        
000010452:   400        12 L     53 W       422 Ch      "75"                                                                                        
000010473:   400        12 L     53 W       422 Ch      "68"                                                                                        
000010462:   400        12 L     53 W       422 Ch      "74"                                                                                        
000010486:   400        12 L     53 W       422 Ch      "62"                                                                                        
000010502:   400        12 L     53 W       422 Ch      "www.12"                                                                                    
000010499:   400        12 L     53 W       422 Ch      "96"                                                                                        
000010506:   400        12 L     53 W       422 Ch      "www.13"                                                                                    
000010513:   400        12 L     53 W       422 Ch      "www.20"                                                                                    
000010529:   400        12 L     53 W       422 Ch      "02"                                                                                        
000010526:   400        12 L     53 W       422 Ch      "www.9"                                                                                     
000010558:   400        12 L     53 W       422 Ch      "222"                                                                                       
000010581:   400        12 L     53 W       422 Ch      "#mail"                                                                                     
000010738:   400        12 L     53 W       422 Ch      "8591"                                                                                      
000010743:   400        12 L     53 W       422 Ch      "mail.77p2p"                                                                                
000010742:   400        12 L     53 W       422 Ch      "mail.8591"                                                                                 
000010768:   400        12 L     53 W       422 Ch      "5278"                                                                                      
000010770:   400        12 L     53 W       422 Ch      "mail.5278"                                                                                 
000010784:   400        12 L     53 W       422 Ch      "228"                                                                                       
000010802:   400        12 L     53 W       422 Ch      "mail.85cc"                                                                                 
000010866:   400        12 L     53 W       422 Ch      "www.7"                                                                                     
000010923:   400        12 L     53 W       422 Ch      "109"                                                                                       
000010951:   400        12 L     53 W       422 Ch      "129"                                                                                       
000011075:   400        12 L     53 W       422 Ch      "128"                                                                                       
000011262:   400        12 L     53 W       422 Ch      "105"                                                                                       
000011346:   400        12 L     53 W       422 Ch      "118"                                                                                       
000011650:   400        12 L     53 W       422 Ch      "119"                                                                                       
000011862:   400        12 L     53 W       422 Ch      "212"                                                                                       
000011870:   400        12 L     53 W       422 Ch      "121"                                                                                       
000012028:   400        12 L     53 W       422 Ch      "126"                                                                                       
000012206:   400        12 L     53 W       422 Ch      "000"                                                                                       
000012224:   400        12 L     53 W       422 Ch      "106"                                                                                       
000012242:   400        12 L     53 W       422 Ch      "11091521400593"                                                                            
000012305:   400        12 L     53 W       422 Ch      "230"                                                                                       
000012385:   400        12 L     53 W       422 Ch      "234"                                                                                       
000012434:   400        12 L     53 W       422 Ch      "080"                                                                                       
000012462:   400        12 L     53 W       422 Ch      "233"                                                                                       
000012483:   400        12 L     53 W       422 Ch      "170"                                                                                       
000012844:   400        12 L     53 W       422 Ch      "www.19"                                                                                    
000012860:   400        12 L     53 W       422 Ch      "www.25"                                                                                    
000012863:   400        12 L     53 W       422 Ch      "93"                                                                                        
000012878:   400        12 L     53 W       422 Ch      "www.17"                                                                                    
000012877:   400        12 L     53 W       422 Ch      "www.18"                                                                                    
000012892:   400        12 L     53 W       422 Ch      "97"                                                                                        
000012910:   400        12 L     53 W       422 Ch      "59"                                                                                        
000012921:   400        12 L     53 W       422 Ch      "95"                                                                                        
000012944:   400        12 L     53 W       422 Ch      "36"                                                                                        
000012942:   400        12 L     53 W       422 Ch      "72"                                                                                        
000013140:   400        12 L     53 W       422 Ch      "73"                                                                                        
000013142:   400        12 L     53 W       422 Ch      "92"                                                                                        
000013371:   400        12 L     53 W       422 Ch      "03"                                                                                        
000013664:   400        12 L     53 W       422 Ch      "38"                                                                                        
000014065:   400        12 L     53 W       422 Ch      "205"                                                                                       
000014126:   400        12 L     53 W       422 Ch      "mail.666av"                                                                                
000014130:   400        12 L     53 W       422 Ch      "mail.080"                                                                                  
